"","enrolID","startaar","startsn","Uddannelse","startramme","Ramme_kode","startstudordna","Studieordningskode","startfak","slutramme","slutsn","slutfak","NU","Norm tid","Norm+1 aar","statussn","udmeldsn","fradatosn","slutdatosn","studienr","stype","yearOfEnrolment","EndSemester","SPV","1_T_atnBy","1_T_atpIn","1_NT_atnBy","1_NT_atpIn","1_El_atnBy","1_El_atpIn","1_Pr_atnBy","1_Pr_atpIn","2_T_atnBy","2_T_atpIn","2_NT_atnBy","2_NT_atpIn","2_El_atnBy","2_El_atpIn","2_Pr_atnBy","2_Pr_atpIn","3_T_atnBy","3_T_atpIn","3_NT_atnBy","3_NT_atpIn","3_El_atnBy","3_El_atpIn","3_Pr_atnBy","3_Pr_atpIn","4_T_atnBy","4_T_atpIn","4_NT_atnBy","4_NT_atpIn","4_El_atnBy","4_El_atpIn","4_Pr_atnBy","4_Pr_atpIn","5_T_atnBy","5_T_atpIn","5_NT_atnBy","5_NT_atpIn","5_El_atnBy","5_El_atpIn","5_Pr_atnBy","5_Pr_atpIn","6_T_atnBy","6_T_atpIn","6_NT_atnBy","6_NT_atpIn","6_El_atnBy","6_El_atpIn","6_Pr_atnBy","6_Pr_atpIn","7_T_atnBy","7_T_atpIn","7_NT_atnBy","7_NT_atpIn","7_El_atnBy","7_El_atpIn","7_Pr_atnBy","7_Pr_atpIn","8_T_atnBy","8_T_atpIn","8_NT_atnBy","8_NT_atpIn","8_El_atnBy","8_El_atpIn","8_Pr_atnBy","8_Pr_atpIn","9_T_atnBy","9_T_atpIn","9_NT_atnBy","9_NT_atpIn","9_El_atnBy","9_El_atpIn","9_Pr_atnBy","9_Pr_atpIn","10_T_atnBy","10_T_atpIn","10_NT_atnBy","10_NT_atpIn","10_El_atnBy","10_El_atpIn","10_Pr_atnBy","10_Pr_atpIn","1_El_nom","1_NT_nom","1_Pr_nom","1_T_nom","2_El_nom","2_NT_nom","2_Pr_nom","2_T_nom","3_El_nom","3_NT_nom","3_Pr_nom","3_T_nom","4_El_nom","4_NT_nom","4_Pr_nom","4_T_nom","5_El_nom","5_NT_nom","5_Pr_nom","5_T_nom","6_El_nom","6_NT_nom","6_Pr_nom","6_T_nom","1_El_mGPA","1_NT_mGPA","1_Pr_mGPA","1_T_mGPA","2_El_mGPA","2_NT_mGPA","2_Pr_mGPA","2_T_mGPA","3_El_mGPA","3_NT_mGPA","3_Pr_mGPA","3_T_mGPA","4_El_mGPA","4_NT_mGPA","4_Pr_mGPA","4_T_mGPA","5_El_mGPA","5_NT_mGPA","5_Pr_mGPA","5_T_mGPA","6_El_mGPA","6_NT_mGPA","6_Pr_mGPA","6_T_mGPA","7_El_mGPA","7_NT_mGPA","7_Pr_mGPA","7_T_mGPA","8_El_mGPA","8_NT_mGPA","8_Pr_mGPA","8_T_mGPA","9_El_mGPA","9_NT_mGPA","9_Pr_mGPA","9_T_mGPA","10_El_mGPA","10_NT_mGPA","10_Pr_mGPA","10_T_mGPA"
"1",116,2010,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7010O","1.-4. semester Medialogi","NJC7002I","TEK-NAT","","","","7.KANDIDAT","Norm Aktiv","Norm+ Aktiv","afslutte","Afsluttet",2010-09-01,2014-03-13,20073390,"kandidat",2010,-3991,"MSc",0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA
"2",117,2010,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7010O","1.-4. semester Medialogi","NJK7008I","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-26,20073123,"kandidat",2010,-3995,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",118,2010,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7010O","1. semester Medialogi","NJM77111","TEK-NAT","Kandidatuddannelse - cand.it Interaktive digitale medier","Kommunikation og Digitale Medier","HUM","4.Frafald, nyt FAK","Norm Afb(nyt FAK)","Norm+ Afb(nyt FAK)","afbrudt","Afbrudt af den studerende",2010-09-01,2012-02-07,20073118,"kandidat",2010,-3995,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",119,2010,"Medieteknologi","Medialogi","Kandidatuddannelse - NAT Medialogi","NJM7010O","2.-4. semester Medialogi","NJI8008I","TEK-NAT","","","","7.KANDIDAT","Norm Aktiv","Norm+ Aktiv","afslutte","Afsluttet",2010-09-01,2014-06-20,20100936,"kandidat",2010,-3991,"MSc",0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,0,0,0,0,5,5,50,70,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA,7,NA,4.66666666666667,NA
"5",120,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA7002I","TEK-NAT","","","","2.Frafald > 1 STÅ","Norm Aktiv","Norm+ Aktiv","afbrudt","Afbrudt af institutionen",2010-09-01,2014-11-10,20070005,"kandidat",2010,-3990,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",121,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA7002I","TEK-NAT","","","","7.KANDIDAT","Norm Aktiv","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2013-06-25,20101951,"kandidat",2010,-3993,"MSc",0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,0,0,0,0,0,0,30,60,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA,NA,NA,3.5,NA
"7",122,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA70091","TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Afb.","Norm+ Afb.","afbrudt","Afbrudt af den studerende",2010-09-01,2011-04-19,20073119,"kandidat",2010,-3997,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",123,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA70091","TEK-NAT","","","","1.Frafald  < 1 STÅ","Norm Aktiv","Norm+ Afb.","afbrudt","Afbrudt af institutionen",2010-09-01,2012-10-17,20101564,"kandidat",2010,-3994,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",124,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA70091","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-26,20073088,"kandidat",2010,-3995,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",125,2010,"Medieteknologi","Medialogi","Kandidatuddannelse (NAT) Medialogi","NJM7005O","1.-4. semester Medialogi","NJA70091","TEK-NAT","","","","7.KANDIDAT","Norm Gnf.","Norm+ Gnf.","afslutte","Afsluttet",2010-09-01,2012-06-26,20073089,"kandidat",2010,-3995,"MSc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.000000001,5,15,5,15.000000001,10,30,5,15.000000001,10,30,5,15.000000001,10,60,5,15.000000001,10,60,5,15.000000001,10,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
